(None, 'caught', 'Blue Marlin', 1057.4)
(None, 'caught', 'Flounder', 30.4)
(None, 'caught', 'Tuna', 1642.6)
(None, 'caught', 'Haddock', 1.2)
(None, 'caught', 'Grouper', 52.3)
(None, 'caught', 'Lionfish', 0.5)
(None, 'caught', 'Moray Eel', 677.9)
(None, 'caught', 'Swordfish', 324.5)
(None, 'caught', 'Swordfish', 433.0)
(None, 'caught', 'Sardine', 1.7)
(None, 'caught', 'Scorpionfish', 6.5)
(None, 'caught', 'Tuna', 28.0)
(None, 'caught', 'Ray', 867.9)
(None, 'caught', 'Cod', 207.6)
(None, 'caught', 'Moray Eel', 1198.9)
(None, 'caught', 'Moray Eel', 815.9)
(None, 'caught', 'Moray Eel', 351.0)
(None, 'caught', 'Scorpionfish', 3.7)
(None, 'caught', 'Baby Seal', 221.9)
(None, 'caught', 'Sea Turtle', 10.0)
(None, 'caught', 'Mackerel', 53.7)
(None, 'caught', 'Lobster', 23.7)
(None, 'caught', 'Lionfish', 1.4)
(None, 'caught', 'Moray Eel', 761.5)
(None, 'caught', 'Mackerel', 104.9)
(None, 'caught', 'Red Snapper', 28.7)
(None, 'caught', 'Cuttlefish', 29.9)
(None, 'caught', 'Moray Eel', 960.4)
(None, 'caught', 'Moray Eel', 444.8)
(None, 'caught', 'Grouper', 51.6)
(None, 'caught', 'Piranha', 5.1)
(None, 'caught', 'Cuttlefish', 20.7)
(None, 'caught', 'Amberjack', 122.9)
(None, 'caught', 'Sole', 5.6)
(None, 'caught', 'Moray Eel', 516.8)
(None, 'caught', 'Waspfish', 4.1)
(None, 'caught', 'Sardine', 0.9)
(None, 'caught', 'Waspfish', 4.2)
(None, 'caught', 'Cuttlefish', 32.6)
(None, 'caught', 'Lobster', 6.6)
(None, 'caught', 'Sea Bass', 6.8)
(None, 'caught', 'Lobster', 21.2)
(None, 'caught', 'Moray Eel', 828.5)
(None, 'caught', 'Waspfish', 1.7)
(None, 'caught', 'Waspfish', 5.0)
(None, 'caught', 'Moray Eel', 599.1)
(None, 'caught', 'Cuttlefish', 27.4)
(None, 'caught', 'Mackerel', 103.8)
(None, 'caught', 'Moray Eel', 260.2)
(None, 'caught', 'Cuttlefish', 7.5)
(None, 'caught', 'Sea Bass', 5.3)
(None, 'caught', 'Mackerel', 91.2)
(None, 'caught', 'Scorpionfish', 4.4)
(None, 'caught', 'Mackerel', 66.3)
(None, 'caught', 'Herring', 0.8)
(None, 'caught', 'Waspfish', 2.9)
(None, 'caught', 'Cuttlefish', 28.5)
(None, 'caught', 'Scorpionfish', 4.5)
(None, 'caught', 'Moray Eel', 981.7)
(None, 'caught', 'Cod', 158.5)
(None, 'caught', 'Sailfish', 91.7)
(None, 'caught', 'Haddock', 2.5)
(None, 'caught', 'Haddock', 25.0)
(None, 'caught', 'Haddoa', 2.5)
(None, 'caught', 'Haddock', 3.0)
(None, 'caught', 'Swordfish', 904.3)
(None, 'caught', 'Piranha', 12.9)
(None, 'caught', 'Shark', 1407.3)
(None, 'caught', 'Moray Eel', 50.0)
(None, 'caught', 'Sailfish', 109.0)
(None, 'caught', 'Moray Eel', 768.5)
(None, 'caught', 'Sea Bass', 8.4)
(None, 'caught', 'Moray Eel', 1100.4)
(None, 'caught', 'Red Snapper', 30.2)
(None, 'caught', 'Salmon', 15.8)
(None, 'caught', 'Sardine', 1.7)
(None, 'caught', 'Ray', 653.0)
(None, 'caught', 'Ray', 948.3)
(None, 'caught', 'Sole', 5.2)
(None, 'caught', 'Moray Eel', 1379.9)
(None, 'caught', 'Cuttlefish', 32.9)
(None, 'caught', 'Shark', 1048.2)
(None, 'caught', 'Baby Seal', 221.9)
(None, 'caught', 'Squid', 1079.8)
(None, 'caught', 'Barracuda', 21.7)
(None, 'caught', 'Cod', 255.6)
(None, 'caught', 'Moray Eel', 552.0)
(None, 'caught', 'Halibut', 113.4)
(None, 'caught', 'Shrimp', 0.8)
(None, 'caught', 'Moray Eel', 1025.1)
(None, 'caught', 'Lionfish', 3.1)
(None, 'caught', 'Shark', 2057.5)
(None, 'caught', 'Cuttlefish', 26.4)
(None, 'caught', 'Moray Eel', 1326.0)
(None, 'caught', 'Amberjack', 52.0)
(None, 'caught', 'Barracuda', 21.3)
(None, 'caught', 'Moray Eel', 388.2)
(None, 'caught', 'Shad', 10.1)
(None, 'caught', 'Lionfish', 1.4)
(None, 'caught', 'Moray Eel', 390.9)
(None, 'caught', 'Herring', 0.6)
(None, 'caught', 'Lionfish', 2.3)
